year,CR,GPM,OPM,NPM,ROA,ROE,ROIC,ARG,CAT,TAT,TLE,TLTA,TLEBITDA,IC,DR,DY,PE,PB,UKCPI,UKINT,UKGDPG,OILM,FCFFR
2003,2.423,73.55%,73.55%,57.85%,2.52%,4.07%,2.63%,-13.58%,0.048,0.048,0.703,0.413,8.525,4.246,58.96%,3.07%,18.175,0.867,1.34,3.69%,3.15%,10.76%,0.412
2003,0.963,31.31%,15.97%,13.20%,4.15%,8.32%,4.45%,23.06%,1.948,0.406,0.861,0.463,5.13,4.197,37.92%,2.55%,13.771,1.372,1.34,3.69%,3.15%,10.76%,0
2003,3.129,7.70%,7.70%,6.64%,7.17%,9.42%,7.67%,12.95%,1.773,1.042,0.415,0.293,2.459,14,35.35%,2.55%,12.992,1.273,1.34,3.69%,3.15%,10.76%,0.17
2003,1.626,76.29%,21.81%,16.11%,13.45%,23.88%,21.63%,0.06%,1.645,0.873,0.778,0.438,1.75,128.469,44.66%,1.65%,24.416,6.104,1.34,3.69%,3.15%,10.76%,0.17
2003,8.358,6.82%,6.82%,2.61%,0.48%,12.06%,12.10%,13.50%,2.935,0.175,27.334,0.965,75.654,0.035,58.45%,4.88%,11.874,1.503,1.34,3.69%,3.15%,10.76%,0.436
2003,1.075,21.77%,21.77%,5.97%,3.59%,8.31%,10.79%,-0.28%,1.481,0.561,3.112,0.757,4.484,6.952,145.32%,5.10%,28.254,3.487,1.34,3.69%,3.15%,10.76%,0.287
2003,0.799,3.18%,3.18%,0.07%,0.04%,0.20%,-0.52%,3.85%,1.585,0.546,1.74,0.635,10.937,1.09,-1840.00%,5.87%,-343.23,0.918,1.34,3.69%,3.15%,10.76%,0.287
2003,0.033,29.22%,29.22%,-21.04%,0.65%,17.33%,1.66%,6.62%,0.029,0.029,25.46,0.962,74.673,0.655,48.42%,3.82%,11.926,1.953,1.34,3.69%,3.15%,10.76%,-0.042
2003,0.892,12.69%,6.40%,4.51%,6.23%,13.45%,8.91%,30.13%,5.625,1.43,1.304,0.566,3.565,14.084,54.96%,3.45%,15.623,2.319,1.34,3.69%,3.15%,10.76%,0.109
2003,1.129,14.73%,14.73%,14.34%,9.61%,99.30%,10.90%,1.52%,1.714,0.664,9.431,0.904,4.404,1.714,20.83%,2.70%,5.068,5.033,1.34,3.69%,3.15%,10.76%,0.298
2003,1.031,16.84%,4.94%,2.94%,5.71%,25.00%,12.54%,19.77%,4.134,1.963,2.171,0.685,4.308,16.173,45.76%,2.02%,18.002,3.289,1.34,3.69%,3.15%,10.76%,0.134
2003,0.667,4.37%,4.37%,1.64%,2.07%,6.25%,5.48%,9.34%,5.435,1.301,2.269,0.694,5.926,3.224,101.20%,2.10%,41.218,2.878,1.34,3.69%,3.15%,10.76%,0.147
2003,0.802,15.01%,15.01%,8.22%,6.02%,27.85%,10.67%,0.64%,1.731,0.545,2.053,0.672,4.877,3.8,1600.00%,2.77%,547.842,5.183,1.34,3.69%,3.15%,10.76%,0.253
2003,1.259,80.47%,32.56%,20.94%,20.63%,77.36%,45.20%,1.08%,2.011,1.011,2.653,0.726,1.964,32.617,53.32%,3.08%,17.006,13.121,1.34,3.69%,3.15%,10.76%,0.501
2003,0.111,28.51%,28.51%,20.34%,0.98%,13.90%,3.92%,40.84%,0.046,0.046,11.117,0.917,40.289,0.856,71.41%,2.70%,17.918,2.011,1.34,3.69%,3.15%,10.76%,0.471
2003,0.834,29.13%,29.13%,13.16%,6.28%,713.56%,15.24%,44.21%,1.334,0.462,116.424,0.991,5.64,3.612,72.55%,3.55%,16.992,121.245,1.34,3.69%,3.15%,10.76%,0.173
2003,0.977,35.26%,8.38%,2.81%,2.06%,17.24%,6.12%,-37.55%,1.905,0.649,1.076,0.518,6.636,6.164,103.33%,2.77%,29.482,1.118,1.34,3.69%,3.15%,10.76%,0.086
2003,2.876,44.39%,44.39%,18.55%,2.57%,3.96%,5.26%,20.86%,4.749,0.138,0.619,0.382,5.951,2.021,76.42%,4.69%,16.383,0.677,1.34,3.69%,3.15%,10.76%,0.419
2003,1.964,2.36%,2.36%,2.03%,0.35%,12.54%,16.73%,-1.91%,28.154,0.159,37.324,0.974,3.145,0,79.03%,4.80%,16.139,2,1.34,3.69%,3.15%,10.76%,0.964
2003,0.059,32.98%,32.98%,33.68%,1.29%,23.58%,4.58%,8.57%,3.657,0.038,23.347,0.959,49.992,0.772,58.68%,7.61%,7.702,2.421,1.34,3.69%,3.15%,10.76%,0.311
2003,0.986,36.18%,9.64%,6.33%,7.30%,20.88%,10.69%,5.25%,4.754,1.195,2.183,0.686,4.567,0.151,48.15%,3.54%,13.119,3.114,1.34,3.69%,3.15%,10.76%,0.371
2003,0.506,22.51%,22.51%,4.09%,1.85%,47.85%,11.60%,117.36%,3.744,0.384,19.805,0.952,7.315,2.166,135.35%,4.79%,30.495,9.961,1.34,3.69%,3.15%,10.76%,0.208
2003,0.053,33.04%,33.04%,21.63%,0.92%,9.65%,2.47%,9.09%,2.908,0.04,14.773,0.937,46.167,1.067,65.41%,5.13%,21.64,1.693,1.34,3.69%,3.15%,10.76%,0.367
2003,0.884,29.72%,13.19%,9.56%,21.20%,76.52%,38.00%,17.68%,3.748,2.211,2.622,0.724,2.054,193.667,45.12%,4.06%,10.353,7.922,1.34,3.69%,3.15%,10.76%,0.208
2003,1.422,52.13%,5.31%,1.42%,0.83%,1.06%,2.36%,-9.98%,1.601,0.612,1.052,0.513,5.79,2.215,350.73%,3.77%,1.616,1.616,1.34,3.69%,3.15%,10.76%,0.107
2003,2.719,-1.22%,-1.22%,1.02%,0.13%,2.51%,3.47%,-11.85%,6.575,0.126,47.315,0.979,-638.556,-0.013,153.80%,4.71%,45.615,2.835,1.34,3.69%,3.15%,10.76%,0.1
2003,1.023,53.27%,18.29%,13.17%,13.34%,36.68%,24.44%,7.91%,2.497,0.972,1.592,0.614,3.055,0.158,40.46%,2.11%,18.294,6.069,1.34,3.69%,3.15%,10.76%,0.465
2003,0.919,18.77%,18.77%,12.05%,16.34%,-46.45%,37.24%,9.21%,3.127,1.332,-3.894,1.346,3.994,4.452,38.53%,3.01%,11.949,-5.55,1.34,3.69%,3.15%,10.76%,0.409
2003,1.129,16.21%,16.21%,16.34%,6.81%,15.80%,7.39%,9.30%,2.06,0.418,1.181,0.542,4.775,4.547,58.44%,2.56%,21.584,3.218,1.34,3.69%,3.15%,10.76%,0.247
2003,1.201,17.36%,4.48%,2.06%,1.58%,5.41%,5.15%,-2.47%,1.647,0.761,2.458,0.711,9.779,2.75,75.86%,2.98%,25.466,1.378,1.34,3.69%,3.15%,10.76%,0.163
2003,1.494,52.72%,12.14%,8.11%,9.11%,15.07%,12.52%,-2.09%,2.434,1.134,0.69,0.408,2.218,28.219,122.30%,6.31%,18.549,2.881,1.34,3.69%,3.15%,10.76%,0.336
2003,1.123,90.80%,27.94%,18.59%,9.20%,16.11%,12.76%,1.56%,2.693,0.474,0.761,0.432,3.034,25,20.73%,1.15%,20.173,3.128,1.34,3.69%,3.15%,10.76%,0.624
2003,0.688,13.82%,3.29%,2.50%,3.93%,6.18%,4.43%,5.77%,5.522,1.508,1.372,0.578,6.904,5.686,65.74%,6.58%,9.645,0.863,1.34,3.69%,3.15%,10.76%,-0.072
2003,1.635,-8.96%,8.96%,11.51%,1.36%,4.47%,2.01%,-9.25%,0.194,0.163,1.551,0.608,28.049,54.714,110.56%,2.92%,37.203,1.778,1.34,3.69%,3.15%,10.76%,0.107
2003,0.469,36.67%,36.67%,5.36%,1.65%,6.21%,3.81%,3.22%,3.239,0.305,1.732,0.634,5.66,2.387,158.82%,6.40%,24.827,1.11,1.34,3.69%,3.15%,10.76%,0.09
2003,1.374,71.13%,17.72%,12.56%,11.95%,26.53%,16.11%,30.63%,2.312,1.034,0.942,0.485,1.926,12.288,53.24%,0.63%,48.323,12.191,1.34,3.69%,3.15%,10.76%,0.278
2003,1.352,40.35%,12.91%,4.24%,3.92%,26.60%,10.77%,1.58%,2.13,0.888,2.407,0.706,4.426,10.916,130.00%,3.48%,36.716,4.711,1.34,3.69%,3.15%,10.76%,0.232
2003,0.58,24.01%,14.86%,10.98%,9.25%,27.99%,13.65%,1.49%,6.13,0.828,2.314,0.698,4.287,7.45,67.31%,5.22%,12.231,3.683,1.34,3.69%,3.15%,10.76%,0.398
2003,0.138,31.62%,31.62%,20.89%,1.08%,16.63%,4.29%,46.11%,2.7,0.045,13.761,0.932,56.28,0.851,63.42%,3.31%,18.272,2.374,1.34,3.69%,3.15%,10.76%,0.163
2003,0.454,7.68%,5.71%,3.64%,6.30%,15.92%,7.66%,9.94%,10.657,1.576,1.516,0.603,4.766,6.057,45.77%,3.03%,12.853,1.854,1.34,3.69%,3.15%,10.76%,-0.011
2003,0.738,50.36%,12.84%,6.47%,6.88%,51.50%,15.61%,-11.55%,3.329,1.105,4.97,0.832,4.277,6.473,85.43%,7.95%,8.007,3.384,1.34,3.69%,3.15%,10.76%,-0.144
2003,0.783,75.99%,28.71%,14.79%,3.46%,10.44%,7.81%,5.18%,1.685,0.224,2.289,0.696,6.516,2.192,95.20%,8.03%,11.74,1.278,1.34,3.69%,3.15%,10.76%,0.091
2003,0.472,44.63%,12.87%,12.87%,0.69%,-0.54%,0.84%,134.32%,14.478,0.198,0.077,0.072,0.991,2.501,-11.82%,1.11%,-9.004,0.621,1.34,3.69%,3.15%,10.76%,-0.147
2003,0.869,20.78%,2.49%,1.12%,2.02%,5.60%,6.49%,3.29%,4.371,1.741,1.803,0.643,11.075,4.677,34.76%,1.03%,31.253,1.707,1.34,3.69%,3.15%,10.76%,0.166
2004,2.683,66.04%,66.04%,51.89%,2.11%,3.48%,2.22%,-12.04%,0.039,0.039,0.594,0.373,10.291,3.843,77.83%,2.15%,35.08,1.137,1.35,4.39%,2.43%,33.32%,0.747
2004,1.262,30.86%,17.90%,20.86%,7.25%,11.98%,7.90%,40.95%,1.627,0.368,0.929,0.482,5.291,6.01,23.44%,2.45%,8.59,1.272,1.35,4.39%,2.43%,33.32%,0.208
2004,3.098,8.15%,8.15%,6.62%,7.15%,9.43%,8.02%,5.22%,1.859,1.064,0.389,0.28,2.243,18.304,37.88%,2.29%,15.22,1.489,1.35,4.39%,2.43%,33.32%,0.333
2004,1.977,75.76%,21.22%,17.10%,14.89%,27.33%,22.34%,0.14%,1.72,0.873,0.769,0.435,1.834,65.899,43.12%,2.42%,15.536,4.106,1.35,4.39%,2.43%,33.32%,0.333
2004,4.76,4.57%,4.57%,3.17%,0.57%,20.58%,13.35%,10.28%,1.395,0.168,25.61,0.962,132.286,0.075,45.45%,3.14%,11.394,1.594,1.35,4.39%,2.43%,33.32%,0.233
2004,1.279,37.30%,37.30%,26.25%,15.44%,25.54%,26.13%,1.87%,1.896,0.606,1.906,0.656,2.655,10.913,31.96%,4.46%,6.813,3.14,1.35,4.39%,2.43%,33.32%,0.389
2004,0.719,6.33%,6.33%,0.02%,0.01%,2.43%,5.83%,5.13%,1.725,0.542,4.935,0.809,9.269,2.469,-1583.33%,4.28%,-371.226,2.647,1.35,4.39%,2.43%,33.32%,0.389
2004,0.016,30.39%,30.39%,-22.03%,0.66%,20.12%,1.47%,15.64%,0.027,0.027,31.103,0.969,108.268,0.637,47.06%,3.77%,11.623,2.256,1.35,4.39%,2.43%,33.32%,-0.063
2004,0.973,23.33%,11.29%,8.54%,9.18%,20.96%,14.19%,-14.06%,3.402,1.074,1.488,0.598,3.58,51.264,37.65%,3.02%,11.733,2.678,1.35,4.39%,2.43%,33.32%,0.189
2004,1.097,15.59%,15.59%,7.65%,5.17%,45.13%,10.33%,-1.11%,1.975,0.696,7.477,0.882,4.042,2.33,51.83%,4.22%,10.786,4.867,1.35,4.39%,2.43%,33.32%,0.323
