year,CR,GPM,OPM,NPM,ROA,ROE,ROIC,ARG,CAT,TAT,TLE,TLTA,TLEBITDA,IC,DR,DY,PE,PB,UKCPI,UKINT,UKGDPG,OILM,FCFFR
2005.0,0.77,14.49,14.49,9.93,6.76,1926.32,13.21,-0.49,1.977,0.669,288.821,0.997,4.975,0.963,48.37,4.42,9.696,186.781,2.042,4.65,2.74,45.31,0.313
2008.0,0.112,39.67,39.67,-18.32,0.27,23.11,1.04,2.0,0.012,0.012,42.302,0.977,193.345,0.574,12.27,21.0,2.931,0.271,3.608,4.68,-0.23,35.6,0.068
2018.0,0.764,6.61,1.82,1.09,1.48,6.84,5.05,8.51,3.617,1.293,1.969,0.663,10.16,4.111,76.69,4.41,11.723,0.719,2.483,0.6,1.4,30.58,0.092
2016.0,0.744,42.24,15.81,4.48,2.01,27.71,5.36,10.98,1.871,0.431,4.7,0.825,7.128,4.198,235.15,3.64,23.946,6.634,0.675,0.4,1.92,-15.8,0.281
2023.0,23.733,62.07,62.07,-7.46,0.34,-1.29,8.13,33.63,-0.482,-0.044,33.254,0.971,138.38,0.028,88.59,7.76,-95.275,1.201,7.383,4.68,0.1,-17.01,-1.93
2017.0,0.954,35.53,35.53,25.46,3.57,13.74,6.6,-1.5,2.59,0.137,3.404,0.773,9.35,2.667,61.12,3.88,17.842,2.401,2.683,0.29,2.66,21.27,0.546
2021.0,1.153,41.09,8.56,4.8,2.73,21.3,4.49,48.89,1.677,0.54,2.176,0.685,5.522,7.419,56.99,4.82,5.715,0.971,2.575,0.11,8.68,64.08,0.168
2003.0,2.719,-1.22,-1.22,1.02,0.13,2.51,3.47,-11.85,6.575,0.126,47.315,0.979,-638.556,-0.013,153.8,4.71,45.615,2.835,1.34,3.69,3.15,10.76,0.1
2004.0,0.74,48.51,10.99,7.14,7.36,53.08,15.79,-9.67,3.527,1.004,3.831,0.793,4.293,5.879,4510.32,6.66,9.528,3.3,1.35,4.39,2.43,33.32,-0.073
2003.0,1.031,16.84,4.94,2.94,5.71,25.0,12.54,19.77,4.134,1.963,2.171,0.685,4.308,16.173,45.76,2.02,18.002,3.289,1.34,3.69,3.15,10.76,0.134
2010.0,0.932,91.74,10.43,6.28,2.51,9.69,7.34,7.45,0.829,0.383,2.662,0.727,12.785,4.249,37.45,2.01,16.696,1.502,3.308,0.5,2.24,28.19,0.112
2010.0,1.253,73.26,13.54,5.76,3.84,16.77,11.38,0.09,1.771,0.672,3.334,0.769,4.731,4.908,203.74,4.97,23.548,6.612,3.308,0.5,2.24,28.19,0.437
2012.0,1.522,58.19,26.67,17.24,9.43,51.94,16.3,15.09,1.774,0.597,3.651,0.785,4.037,4.111,55.91,2.78,18.694,9.05,2.842,0.5,1.51,0.78,0.595
2019.0,0.934,19.43,-5.93,-7.87,-5.29,19.59,-11.96,-44.24,1.566,0.716,9.114,0.901,5.832,-3.571,-8.43,9.05,12.201,2.9,1.792,0.75,1.64,-10.28,0.03
2023.0,20.434,16.01,16.01,13.31,0.09,32.03,11.15,6.42,0.332,0.024,108.134,0.991,14.468,1.219,276.74,7.81,9.026,3.139,7.383,4.68,0.1,-17.01,-7.87
2005.0,2.255,53.25,13.04,8.74,10.12,19.31,15.84,1.92,2.201,1.142,0.905,0.475,2.615,22.422,118.71,7.43,15.936,3.029,2.042,4.65,2.74,45.31,0.406
2009.0,0.417,41.84,-56.26,-56.26,-16.0,-17.4,-14.6,10.02,5.446,0.324,0.486,0.327,2.853,-14.743,132.96,4.16,9.567,1.03,2.183,0.64,-4.62,-36.39,0.932
2010.0,1.859,54.3,12.4,22.9,12.92,10.69,7.21,10.18,1.359,0.531,0.903,0.475,5.279,8.561,23.9,3.57,1.462,1.462,3.308,0.5,2.24,28.19,0.458
2003.0,1.201,17.36,4.48,2.06,1.58,5.41,5.15,-2.47,1.647,0.761,2.458,0.711,9.779,2.75,75.86,2.98,25.466,1.378,1.34,3.69,3.15,10.76,0.163
2004.0,0.736,4.21,4.21,1.53,2.11,7.03,6.34,5.05,5.571,1.392,2.335,0.7,5.755,3.674,112.11,5.24,26.403,1.874,1.35,4.39,2.43,33.32,0.111
2013.0,3.269,55.52,55.52,54.15,8.16,13.75,8.81,0.0,0.167,0.167,0.441,0.306,2.683,4.085,21.15,2.56,7.769,1.012,2.567,0.5,1.79,-2.68,-0.318
2009.0,0.908,91.9,8.85,5.04,1.87,7.41,5.68,16.15,0.905,0.389,2.679,0.728,13.663,2.494,43.09,2.48,17.735,1.26,2.183,0.64,-4.62,-36.39,0.079
2018.0,5.269,10.26,10.26,11.21,0.61,13.37,11.83,-67.87,1.03,0.053,28.458,0.966,177.991,0.067,40.67,3.43,16.586,2.107,2.483,0.6,1.4,30.58,0.483
